id_salario,id_funcionario,mes_referencia,salario
1,1,2024-01,2563.35
2,1,2024-02,2400.21
3,1,2024-03,2519.35
4,1,2024-04,2383.67
5,1,2024-05,2487.98
6,1,2024-06,2507.21
7,1,2024-07,2467.0
8,1,2024-08,2436.68
9,1,2024-09,2422.08
10,1,2024-10,2406.69
11,1,2024-11,2548.59
12,1,2024-12,2524.42
13,2,2024-01,8426.25
14,2,2024-02,8957.32
15,2,2024-03,9138.96
16,2,2024-04,8476.1
17,2,2024-05,8375.65
18,2,2024-06,8966.29
19,2,2024-07,8820.39
20,2,2024-08,9054.47
21,2,2024-09,8439.8
22,2,2024-10,9013.7
23,2,2024-11,8493.96
24,2,2024-12,8460.71
25,3,2024-01,3248.95
26,3,2024-02,3201.9
27,3,2024-03,3157.13
28,3,2024-04,3105.39
29,3,2024-05,3268.67
30,3,2024-06,3115.98
31,3,2024-07,3249.58
32,3,2024-08,3130.69
33,3,2024-09,3111.1
34,3,2024-10,3138.11
35,3,2024-11,3087.3
36,3,2024-12,3227.85
37,4,2024-01,5371.25
38,4,2024-02,5739.57
39,4,2024-03,5454.96
40,4,2024-04,5543.08
41,4,2024-05,5743.38
42,4,2024-06,5587.61
43,4,2024-07,5307.61
44,4,2024-08,5761.79
45,4,2024-09,5589.53
46,4,2024-10,5427.93
47,4,2024-11,5319.96
48,4,2024-12,5681.32
49,5,2024-01,6361.73
50,5,2024-02,6590.26
51,5,2024-03,6523.49
52,5,2024-04,6119.65
53,5,2024-05,6221.13
54,5,2024-06,6181.04
55,5,2024-07,6495.18
56,5,2024-08,6044.75
57,5,2024-09,6384.82
58,5,2024-10,6506.92
59,5,2024-11,6579.4
60,5,2024-12,6240.38
61,6,2024-01,7447.09
62,6,2024-02,8017.26
63,6,2024-03,7460.15
64,6,2024-04,7669.21
65,6,2024-05,7979.17
66,6,2024-06,7477.53
67,6,2024-07,7539.0
68,6,2024-08,7921.02
69,6,2024-09,7919.3
70,6,2024-10,7858.17
71,6,2024-11,7899.09
72,6,2024-12,7781.91
73,7,2024-01,3704.54
74,7,2024-02,3642.79
75,7,2024-03,3916.28
76,7,2024-04,3793.97
77,7,2024-05,3725.29
78,7,2024-06,3748.3
79,7,2024-07,3930.89
80,7,2024-08,3632.16
81,7,2024-09,3795.04
82,7,2024-10,3764.81
83,7,2024-11,3804.53
84,7,2024-12,3581.28
85,8,2024-01,8455.09
86,8,2024-02,8157.66
87,8,2024-03,8264.25
88,8,2024-04,8447.3
89,8,2024-05,8272.83
90,8,2024-06,7823.25
91,8,2024-07,8166.7
92,8,2024-08,8191.36
93,8,2024-09,8043.38
94,8,2024-10,8296.5
95,8,2024-11,8456.92
96,8,2024-12,8449.78
97,9,2024-01,4956.47
98,9,2024-02,5405.85
99,9,2024-03,5330.61
100,9,2024-04,4962.36
101,9,2024-05,5372.86
102,9,2024-06,5346.59
103,9,2024-07,5165.59
104,9,2024-08,5202.94
105,9,2024-09,5103.8
106,9,2024-10,4926.32
107,9,2024-11,5070.91
108,9,2024-12,5312.02
109,10,2024-01,1998.58
110,10,2024-02,2011.73
111,10,2024-03,2040.02
112,10,2024-04,2117.76
113,10,2024-05,2001.2
114,10,2024-06,2001.32
115,10,2024-07,2080.69
116,10,2024-08,2022.71
117,10,2024-09,1976.45
118,10,2024-10,2022.76
119,10,2024-11,1959.43
120,10,2024-12,1966.65
121,11,2024-01,5444.08
122,11,2024-02,5716.27
123,11,2024-03,5413.05
124,11,2024-04,5532.81
125,11,2024-05,5561.17
126,11,2024-06,5221.33
127,11,2024-07,5578.33
128,11,2024-08,5311.86
129,11,2024-09,5741.64
130,11,2024-10,5295.74
